Site Name ,LIZ E - SA
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14727


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

500,25/07/2021 , 19:00:00,927,927
501,25/07/2021 , 19:15:00,692,692
502,25/07/2021 , 19:30:00,483,483
503,25/07/2021 , 19:45:00,367,367
504,25/07/2021 , 20:00:00,271,271
505,25/07/2021 , 20:15:00,162,162
506,25/07/2021 , 20:30:00,94,94
507,25/07/2021 , 20:45:00,47,47
508,25/07/2021 , 21:00:00,19,19
509,25/07/2021 , 21:15:00,5,5
510,25/07/2021 , 21:30:00,0,0
511,25/07/2021 , 21:45:00,0,0
512,25/07/2021 , 22:00:00,0,0
513,25/07/2021 , 22:15:00,0,0
514,25/07/2021 , 22:30:00,0,0
515,25/07/2021 , 22:45:00,0,0
516,25/07/2021 , 23:00:00,0,0
517,25/07/2021 , 23:15:00,0,0
518,25/07/2021 , 23:30:00,0,0
519,25/07/2021 , 23:45:00,0,0
520,25/07/2021 , 24:00:00,0,0
521,26/07/2021 , 00:15:00,0,0
522,26/07/2021 , 00:30:00,0,0
523,26/07/2021 , 00:45:00,0,0
524,26/07/2021 , 01:00:00,0,0
525,26/07/2021 , 01:15:00,0,0
526,26/07/2021 , 01:30:00,0,0
527,26/07/2021 , 01:45:00,0,0
528,26/07/2021 , 02:00:00,0,0
529,26/07/2021 , 02:15:00,0,0
530,26/07/2021 , 02:30:00,0,0
531,26/07/2021 , 02:45:00,0,0
532,26/07/2021 , 03:00:00,0,0
533,26/07/2021 , 03:15:00,0,0
534,26/07/2021 , 03:30:00,0,0
535,26/07/2021 , 03:45:00,0,0
536,26/07/2021 , 04:00:00,0,0
537,26/07/2021 , 04:15:00,0,0
538,26/07/2021 , 04:30:00,0,0
539,26/07/2021 , 04:45:00,0,0
540,26/07/2021 , 05:00:00,0,0
541,26/07/2021 , 05:15:00,0,0
542,26/07/2021 , 05:30:00,2,2
