Date,Time,Intensity (Lux) c:2
07/28/21,09:45:00,7233.4
07/28/21,10:00:00,9644.5
07/28/21,10:15:00,8266.7
07/28/21,10:30:00,11711.2
07/28/21,10:45:00,9644.5
07/28/21,11:00:00,13777.9
07/28/21,11:15:00,22044.6
07/28/21,11:30:00,22044.6
07/28/21,11:45:00,24800.2
07/28/21,12:00:00,41333.6
07/28/21,12:15:00,55111.5
07/28/21,12:30:00,34444.7
07/28/21,12:45:00,35822.5
07/28/21,13:00:00,24800.2
07/28/21,13:15:00,55111.5
07/28/21,13:30:00,68889.3
07/28/21,13:45:00,55111.5
07/28/21,14:00:00,143289.8
07/28/21,14:15:00,93689.5
07/28/21,14:30:00,126756.4
07/28/21,14:45:00,82667.2
07/28/21,15:00:00,82667.2
07/28/21,15:15:00,74400.5
07/28/21,15:30:00,82667.2
07/28/21,15:45:00,44089.2
07/28/21,16:00:00,60622.6
07/28/21,16:15:00,42711.4
07/28/21,16:30:00,34444.7
07/28/21,16:45:00,11022.3
07/28/21,17:00:00,20666.8
07/28/21,17:15:00,11022.3
07/28/21,17:30:00,20666.8
07/28/21,17:45:00,12400.1
07/28/21,18:00:00,10333.4
07/28/21,18:15:00,7577.8
07/28/21,18:30:00,6200.0
07/28/21,18:45:00,4650.0
07/28/21,19:00:00,3444.5
07/28/21,19:15:00,2927.8
07/28/21,19:30:00,1808.3
07/28/21,19:45:00,1345.5
07/28/21,20:00:00,882.6
07/28/21,20:15:00,495.1
07/28/21,20:30:00,269.1
07/28/21,20:45:00,96.9
07/28/21,21:00:00,21.5
07/28/21,21:15:00,0.0
07/28/21,21:30:00,0.0
07/28/21,21:45:00,0.0
07/28/21,22:00:00,0.0
07/28/21,22:15:00,0.0
07/28/21,22:30:00,0.0
07/28/21,22:45:00,0.0
07/28/21,23:00:00,0.0
07/28/21,23:15:00,0.0
07/28/21,23:30:00,0.0
07/28/21,23:45:00,0.0
07/29/21,00:00:00,0.0
07/29/21,00:15:00,0.0
07/29/21,00:30:00,0.0
07/29/21,00:45:00,0.0
07/29/21,01:00:00,0.0
07/29/21,01:15:00,0.0
07/29/21,01:30:00,0.0
07/29/21,01:45:00,0.0
07/29/21,02:00:00,0.0
07/29/21,02:15:00,0.0
07/29/21,02:30:00,0.0
07/29/21,02:45:00,0.0
07/29/21,03:00:00,0.0
07/29/21,03:15:00,0.0
07/29/21,03:30:00,0.0
07/29/21,03:45:00,0.0
07/29/21,04:00:00,0.0
07/29/21,04:15:00,0.0
07/29/21,04:30:00,0.0
07/29/21,04:45:00,0.0
07/29/21,05:00:00,0.0
07/29/21,05:15:00,0.0
07/29/21,05:30:00,32.3
07/29/21,05:45:00,150.7
07/29/21,06:00:00,344.4
07/29/21,06:15:00,613.5
07/29/21,06:30:00,893.4
07/29/21,06:45:00,1205.6
07/29/21,07:00:00,1550.0
07/29/21,07:15:00,2066.7
07/29/21,07:30:00,2583.4
07/29/21,07:45:00,2755.6
07/29/21,08:00:00,3788.9
07/29/21,08:15:00,3961.1
07/29/21,08:30:00,3788.9
07/29/21,08:45:00,5166.7
