Site Name ,LIZ E - BO
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14726


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

313,23/07/2021 , 20:15:00,9,9
314,23/07/2021 , 20:30:00,7,7
315,23/07/2021 , 20:45:00,4,4
316,23/07/2021 , 21:00:00,1,1
317,23/07/2021 , 21:15:00,0,0
318,23/07/2021 , 21:30:00,0,0
319,23/07/2021 , 21:45:00,0,0
320,23/07/2021 , 22:00:00,0,0
321,23/07/2021 , 22:15:00,0,0
322,23/07/2021 , 22:30:00,0,0
323,23/07/2021 , 22:45:00,0,0
324,23/07/2021 , 23:00:00,0,0
325,23/07/2021 , 23:15:00,0,0
326,23/07/2021 , 23:30:00,0,0
327,23/07/2021 , 23:45:00,0,0
328,23/07/2021 , 24:00:00,0,0
329,24/07/2021 , 00:15:00,0,0
330,24/07/2021 , 00:30:00,0,0
331,24/07/2021 , 00:45:00,0,0
332,24/07/2021 , 01:00:00,0,0
333,24/07/2021 , 01:15:00,0,0
334,24/07/2021 , 01:30:00,0,0
335,24/07/2021 , 01:45:00,0,0
336,24/07/2021 , 02:00:00,0,0
337,24/07/2021 , 02:15:00,0,0
338,24/07/2021 , 02:30:00,0,0
339,24/07/2021 , 02:45:00,0,0
340,24/07/2021 , 03:00:00,0,0
341,24/07/2021 , 03:15:00,0,0
342,24/07/2021 , 03:30:00,0,0
343,24/07/2021 , 03:45:00,0,0
344,24/07/2021 , 04:00:00,0,0
345,24/07/2021 , 04:15:00,0,0
346,24/07/2021 , 04:30:00,0,0
347,24/07/2021 , 04:45:00,0,0
348,24/07/2021 , 05:00:00,0,0
349,24/07/2021 , 05:15:00,0,0
350,24/07/2021 , 05:30:00,0,0
351,24/07/2021 , 05:45:00,0,0
352,24/07/2021 , 06:00:00,7,7
353,24/07/2021 , 06:15:00,23,23
354,24/07/2021 , 06:30:00,52,52
355,24/07/2021 , 06:45:00,68,68
356,24/07/2021 , 07:00:00,118,118
357,24/07/2021 , 07:15:00,165,165
358,24/07/2021 , 07:30:00,221,221
359,24/07/2021 , 07:45:00,251,251
360,24/07/2021 , 08:00:00,416,416
361,24/07/2021 , 08:15:00,522,522
362,24/07/2021 , 08:30:00,563,563
363,24/07/2021 , 08:45:00,641,641
364,24/07/2021 , 09:00:00,862,862
365,24/07/2021 , 09:15:00,1012,1012
366,24/07/2021 , 09:30:00,859,859
367,24/07/2021 , 09:45:00,1729,1729
368,24/07/2021 , 10:00:00,2041,2041
369,24/07/2021 , 10:15:00,1725,1725
370,24/07/2021 , 10:30:00,2926,2926
371,24/07/2021 , 10:45:00,1608,1608
372,24/07/2021 , 11:00:00,452,452
373,24/07/2021 , 11:15:00,107,107
374,24/07/2021 , 11:30:00,154,154
375,24/07/2021 , 11:45:00,190,190
376,24/07/2021 , 12:00:00,222,222
377,24/07/2021 , 12:15:00,307,307
378,24/07/2021 , 12:30:00,563,563
379,24/07/2021 , 12:45:00,683,683
380,24/07/2021 , 13:00:00,695,695
381,24/07/2021 , 13:15:00,686,686
382,24/07/2021 , 13:30:00,677,677
383,24/07/2021 , 13:45:00,654,654
384,24/07/2021 , 14:00:00,565,565
385,24/07/2021 , 14:15:00,325,325
386,24/07/2021 , 14:30:00,164,164
387,24/07/2021 , 14:45:00,39,39
388,24/07/2021 , 15:00:00,7,7
389,24/07/2021 , 15:15:00,2,2
390,24/07/2021 , 15:30:00,1,1
391,24/07/2021 , 15:45:00,0,0
392,24/07/2021 , 16:00:00,0,0
393,24/07/2021 , 16:15:00,0,0
394,24/07/2021 , 16:30:00,0,0
395,24/07/2021 , 16:45:00,0,0
396,24/07/2021 , 17:00:00,0,0
397,24/07/2021 , 17:15:00,0,0
398,24/07/2021 , 17:30:00,0,0
399,24/07/2021 , 17:45:00,0,0
400,24/07/2021 , 18:00:00,0,0
