Site Name ,LIZ E - TS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14729


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

530,26/07/2021 , 02:30:00,0,0
531,26/07/2021 , 02:45:00,0,0
532,26/07/2021 , 03:00:00,0,0
533,26/07/2021 , 03:15:00,0,0
534,26/07/2021 , 03:30:00,0,0
535,26/07/2021 , 03:45:00,0,0
536,26/07/2021 , 04:00:00,0,0
537,26/07/2021 , 04:15:00,0,0
538,26/07/2021 , 04:30:00,0,0
539,26/07/2021 , 04:45:00,0,0
540,26/07/2021 , 05:00:00,0,0
541,26/07/2021 , 05:15:00,0,0
542,26/07/2021 , 05:30:00,1,1
543,26/07/2021 , 05:45:00,14,14
544,26/07/2021 , 06:00:00,37,37
545,26/07/2021 , 06:15:00,64,64
546,26/07/2021 , 06:30:00,89,89
547,26/07/2021 , 06:45:00,120,120
548,26/07/2021 , 07:00:00,146,146
549,26/07/2021 , 07:15:00,348,348
550,26/07/2021 , 07:30:00,474,474
551,26/07/2021 , 07:45:00,599,599
552,26/07/2021 , 08:00:00,754,754
553,26/07/2021 , 08:15:00,961,961
554,26/07/2021 , 08:30:00,1158,1158
555,26/07/2021 , 08:45:00,1461,1461
556,26/07/2021 , 09:00:00,1342,1342
557,26/07/2021 , 09:15:00,1319,1319
558,26/07/2021 , 09:30:00,1406,1406
559,26/07/2021 , 09:45:00,1142,1142
560,26/07/2021 , 10:00:00,1710,1710
561,26/07/2021 , 10:15:00,2571,2571
562,26/07/2021 , 10:30:00,3301,3301
563,26/07/2021 , 10:45:00,3367,3367
564,26/07/2021 , 11:00:00,3839,3839
565,26/07/2021 , 11:15:00,4623,4623
566,26/07/2021 , 11:30:00,5198,5198
567,26/07/2021 , 11:45:00,7035,7035
568,26/07/2021 , 12:00:00,9515,9515
569,26/07/2021 , 12:15:00,11900,11900
570,26/07/2021 , 12:30:00,13678,13678
571,26/07/2021 , 12:45:00,14853,14853
572,26/07/2021 , 13:00:00,17948,17948
573,26/07/2021 , 13:15:00,13161,13161
574,26/07/2021 , 13:30:00,19135,19135
575,26/07/2021 , 13:45:00,21580,21580
576,26/07/2021 , 14:00:00,16553,16553
577,26/07/2021 , 14:15:00,17303,17303
578,26/07/2021 , 14:30:00,10304,10304
579,26/07/2021 , 14:45:00,9787,9787
580,26/07/2021 , 15:00:00,10678,10678
581,26/07/2021 , 15:15:00,11373,11373
582,26/07/2021 , 15:30:00,8601,8601
583,26/07/2021 , 15:45:00,7484,7484
584,26/07/2021 , 16:00:00,7287,7287
585,26/07/2021 , 16:15:00,6585,6585
586,26/07/2021 , 16:30:00,5349,5349
587,26/07/2021 , 16:45:00,4096,4096
588,26/07/2021 , 17:00:00,3240,3240
589,26/07/2021 , 17:15:00,2790,2790
590,26/07/2021 , 17:30:00,2410,2410
591,26/07/2021 , 17:45:00,1774,1774
592,26/07/2021 , 18:00:00,1506,1506
593,26/07/2021 , 18:15:00,1124,1124
594,26/07/2021 , 18:30:00,872,872
595,26/07/2021 , 18:45:00,637,637
596,26/07/2021 , 19:00:00,492,492
597,26/07/2021 , 19:15:00,406,406
598,26/07/2021 , 19:30:00,304,304
599,26/07/2021 , 19:45:00,251,251
