Date,Time,DO conc (mg/L) c:1 2
07/29/21,03:45:00,13.08
07/29/21,04:00:00,12.84
07/29/21,04:15:00,12.67
07/29/21,04:30:00,12.60
07/29/21,04:45:00,12.28
07/29/21,05:00:00,12.22
07/29/21,05:15:00,12.17
07/29/21,05:30:00,11.97
07/29/21,05:45:00,11.86
07/29/21,06:00:00,11.74
07/29/21,06:15:00,11.66
07/29/21,06:30:00,11.62
07/29/21,06:45:00,11.76
07/29/21,07:00:00,11.70
07/29/21,07:15:00,11.74
07/29/21,07:30:00,11.67
07/29/21,07:45:00,11.62
07/29/21,08:00:00,11.65
07/29/21,08:15:00,11.68
07/29/21,08:30:00,11.68
07/29/21,08:45:00,11.26
07/29/21,09:00:00,11.54
07/29/21,09:15:00,12.00
07/29/21,09:30:00,11.81
07/29/21,09:45:00,11.96
07/29/21,10:00:00,12.23
07/29/21,10:15:00,12.19
07/29/21,10:30:00,12.16
07/29/21,10:45:00,12.21
07/29/21,11:00:00,12.42
07/29/21,11:15:00,12.48
07/29/21,11:30:00,12.76
07/29/21,11:45:00,13.02
07/29/21,12:00:00,13.43
07/29/21,12:15:00,13.72
07/29/21,12:30:00,13.85
07/29/21,12:45:00,13.81
07/29/21,13:00:00,13.81
07/29/21,13:15:00,13.91
07/29/21,13:30:00,13.84
07/29/21,13:45:00,13.57
07/29/21,14:00:00,13.35
07/29/21,14:15:00,13.31
07/29/21,14:30:00,13.33
07/29/21,14:45:00,13.26
07/29/21,15:00:00,13.06
