Site Name ,LIZ E - NI
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14728


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

366,24/07/2021 , 09:30:00,1974,1974
367,24/07/2021 , 09:45:00,643,643
368,24/07/2021 , 10:00:00,687,687
369,24/07/2021 , 10:15:00,888,888
370,24/07/2021 , 10:30:00,1183,1183
371,24/07/2021 , 10:45:00,1257,1257
372,24/07/2021 , 11:00:00,913,913
373,24/07/2021 , 11:15:00,290,290
374,24/07/2021 , 11:30:00,220,220
375,24/07/2021 , 11:45:00,377,377
376,24/07/2021 , 12:00:00,504,504
377,24/07/2021 , 12:15:00,658,658
378,24/07/2021 , 12:30:00,936,936
379,24/07/2021 , 12:45:00,998,998
380,24/07/2021 , 13:00:00,914,914
381,24/07/2021 , 13:15:00,686,686
382,24/07/2021 , 13:30:00,414,414
383,24/07/2021 , 13:45:00,379,379
384,24/07/2021 , 14:00:00,906,906
385,24/07/2021 , 14:15:00,15398,15398
386,24/07/2021 , 14:30:00,14832,14832
387,24/07/2021 , 14:45:00,12855,12855
388,24/07/2021 , 15:00:00,10924,10924
389,24/07/2021 , 15:15:00,9437,9437
390,24/07/2021 , 15:30:00,8232,8232
391,24/07/2021 , 15:45:00,6775,6775
392,24/07/2021 , 16:00:00,5419,5419
393,24/07/2021 , 16:15:00,4805,4805
394,24/07/2021 , 16:30:00,4021,4021
395,24/07/2021 , 16:45:00,3326,3326
396,24/07/2021 , 17:00:00,2623,2623
397,24/07/2021 , 17:15:00,2215,2215
398,24/07/2021 , 17:30:00,1909,1909
399,24/07/2021 , 17:45:00,1625,1625
400,24/07/2021 , 18:00:00,1367,1367
401,24/07/2021 , 18:15:00,1044,1044
402,24/07/2021 , 18:30:00,887,887
403,24/07/2021 , 18:45:00,797,797
404,24/07/2021 , 19:00:00,691,691
405,24/07/2021 , 19:15:00,574,574
406,24/07/2021 , 19:30:00,432,432
407,24/07/2021 , 19:45:00,312,312
408,24/07/2021 , 20:00:00,220,220
409,24/07/2021 , 20:15:00,145,145
410,24/07/2021 , 20:30:00,89,89
411,24/07/2021 , 20:45:00,48,48
412,24/07/2021 , 21:00:00,19,19
413,24/07/2021 , 21:15:00,4,4
414,24/07/2021 , 21:30:00,1,1
415,24/07/2021 , 21:45:00,0,0
416,24/07/2021 , 22:00:00,0,0
417,24/07/2021 , 22:15:00,0,0
418,24/07/2021 , 22:30:00,0,0
419,24/07/2021 , 22:45:00,0,0
420,24/07/2021 , 23:00:00,0,0
421,24/07/2021 , 23:15:00,0,0
422,24/07/2021 , 23:30:00,0,0
423,24/07/2021 , 23:45:00,0,0
424,24/07/2021 , 24:00:00,0,0
425,25/07/2021 , 00:15:00,0,0
426,25/07/2021 , 00:30:00,0,0
427,25/07/2021 , 00:45:00,0,0
428,25/07/2021 , 01:00:00,0,0
429,25/07/2021 , 01:15:00,0,0
430,25/07/2021 , 01:30:00,0,0
431,25/07/2021 , 01:45:00,0,0
432,25/07/2021 , 02:00:00,0,0
